"Year","Rank","Author","Title","Contributor","Description"
2009,15,"Mary Ann Shaffer and Annie Barrows","THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY","by Mary Ann Shaffer and Annie Barrows","After World War II, a journalist travels to the island of Guernsey to meet residents who resisted the Nazi occupation."
2009,16,"Steve Berry","THE CHARLEMAGNE PURSUIT","by Steve Berry","The former Justice Department operative Cotton Malone searches for the truth about his father’s death on a secret submarine mission to the Antarctic; an underground city, Nazis and an artifact from Charlemagne’s tomb are involved."
2009,17,"Stieg Larsson","THE GIRL WITH THE DRAGON TATTOO","by Stieg Larsson","A hacker and a journalist investigate the 40-year-old disappearance of a Swedish heiress."
2009,18,"Vince Flynn","EXTREME MEASURES","by Vince Flynn","Mitch Rapp teams up with a C.I.A. colleague to fight a terrorist cell — and the politicians who would rein them in."
2009,19,"Jhumpa Lahiri","UNACCUSTOMED EARTH","by Jhumpa Lahiri","Stories of the anxiety and transformation experienced by Bengalis in America."
2009,20,"Danielle Steel","A GOOD WOMAN","by Danielle Steel","An American society girl who made a new life as a doctor in World War I France returns to New York."
2010,1,"Dan Brown","THE LOST SYMBOL","by Dan Brown","Robert Langdon among the Masons."
2010,2,"James Patterson","CROSS FIRE","by James Patterson","Tracking the murderer of a relative, Alex Cross discovers a wild Washington scene with explosive secrets."
2010,3,"Stephen King","UNDER THE DOME, PART 1","by Stephen King","When a Maine town is trapped by an invisible force field, a sanctimonious and hypocritical politician takes over."
2010,4,"Kathryn Stockett","THE HELP","by Kathryn Stockett","A young white woman and two black maids in 1960s ­Mississippi."
2010,5,"Sue Grafton","U IS FOR UNDERTOW","by Sue Grafton","Kinsey Millhone investigates the case of a 4-year-old girl who disappeared 21 years earlier."
2010,6,"Michael Crichton","PIRATE LATITUDES","by Michael Crichton","In the 17th-century Caribbean, a British pirate attacks a Spanish galleon; this manuscript was found in Crichton’s files after his death in 2008."
2010,7,"John Grisham","FORD COUNTY","by John Grisham","Stories set in rural Mississippi."
2010,8,"Nicholas Sparks","THE LAST SONG","by Nicholas Sparks","A 17-year-old girl spends the summer with her divorced father in North Carolina and finds many kinds of love."
2010,9,"Glenn Beck with Kevin Balfe and Jason Wright","THE CHRISTMAS SWEATER","by Glenn Beck with Kevin Balfe and Jason Wright.","A boy learns from his disappointment with his mother’s gift."
2010,10,"Barbara Kingsolver","THE LACUNA","by Barbara Kingsolver","A young American growing up in Mexico becomes friends with artists and radicals; later, in the United States, he is menaced by ­McCarthyism."
2010,11,"Jeannette Walls","HALF BROKE HORSES","by Jeannette Walls","A re-creation of the life of the author’s grandmother in the Southwest, by the author of “The Glass Castle.”"
2010,12,"Dean Koontz","BREATHLESS","by Dean Koontz","Mysterious animals in the Colorado Rockies set off intrigue and suspense."
2010,13,"Hilary Mantel","WOLF HALL","by Hilary Mantel","Thomas More and Thomas Cromwell clash in the turbulent court of Henry VIII."
2010,14,"Stieg Larsson","THE GIRL WHO PLAYED WITH FIRE","by Stieg Larsson","A Swedish hacker becomes a murder suspect."
2010,15,"Vince Flynn","PURSUIT OF HONOR","by Vince Flynn","The counterterrorism operative Mitch Rapp must teach politicians about national security following a new Qaeda attack."
2010,16,"David Baldacci","TRUE BLUE","by David Baldacci","An ex-cop in Washington struggles to clear her name."
2010,17,"Robert Jordan and Brandon Sanderson","THE GATHERING STORM","by Robert Jordan and Brandon Sanderson","Book 12 of the Wheel of Time fantasy series."
2010,18,"Laurell K Hamilton","DIVINE MISDEMEANORS","by Laurell K. Hamilton","In the eighth Meredith Gentry paranormal romance, Meredith, who has left the faerie court, is asked by the L.A.P.D. for assistance in solving a series of crimes."
2010,19,"Patricia Cornwell","THE SCARPETTA FACTOR","by Patricia Cornwell","Apparent threats on Kay Scarpetta’s life make her hesitate when a TV producer wants her to star in a show."
2010,20,"Richard Castle","HEAT WAVE","by Richard Castle","A journalist tags along with Detective Nikki Heat as she investigates the death of a New York real estate tycoon."
2011,1,"Tom Clancy with Grant Blackwood","DEAD OR ALIVE","by Tom Clancy with Grant Blackwood","Many characters from Clancy’s previous novels make an appearance as an intelligence group tracks a vicious terrorist called the Emir."
2011,2,"John Grisham","THE CONFESSION","by John Grisham","A criminal wants to save an innocent man on death row, but he must convince the authorities he’s telling the truth."
2011,3,"Stieg Larsson","THE GIRL WHO KICKED THE HORNET’S NEST","by Stieg Larsson","The third volume of a trilogy about a Swedish hacker and a journalist."
2011,4,"James Patterson","CROSS FIRE","by James Patterson","Alex Cross investigates a professional assassination in Washington, and gets a chilling call from his deadliest adversary."
2011,5,"Jonathan Franzen","FREEDOM","by Jonathan Franzen","A family of Midwestern liberals during the Bush years."
2011,6,"Stephen King","FULL DARK, NO STARS","by Stephen King","Four long stories, light on the supernatural and dealing mostly with grisly human behavior."
2011,7,"Patricia Cornwell","PORT MORTUARY","by Patricia Cornwell","In the 18th Kay Scarpetta novel, the forensic pathologist masters a sophisticated autopsy technology at an Air Force base."
2011,8,"Ken Follett","FALL OF GIANTS","by Ken Follett","Five interrelated families from five countries are caught in the upheavals of World War I and the Russian Revolution."
