"city","time","temp"
"Portland",27,50.94
"Portland",30,54.84
"Portland",33,51.09
"Portland",36,49.77
"Portland",39,50.05
"Portland",42,45.71
"Portland",45,45.22
"Portland",48,45.28
"Portland",51,45.8
"Portland",54,48.3
"Portland",57,45.34
"Portland",60,44.99
"Portland",63,41.13
"Portland",66,40.02
"Portland",69,38.55
"Portland",72,38.98
"Portland",75,43.3
"Portland",78,44.88
"Portland",81,45.5
"Portland",84,43.97
"Portland",87,43.12
"Portland",90,42.85
"Portland",93,43.13
"Portland",96,43.47
"Portland",99,43.46
"Portland",102,43.2
"Las Vegas",0,40.84
"Las Vegas",3,63.91
"Las Vegas",6,71.35
"Las Vegas",9,70.66
"Las Vegas",12,55.78
"Las Vegas",15,48.88
"Las Vegas",18,47.41
"Las Vegas",21,44.13
"Las Vegas",24,45.19
"Las Vegas",27,62.2
"Las Vegas",30,69.19
"Las Vegas",33,69.24
"Las Vegas",36,64.51
"Las Vegas",39,61.74
"Las Vegas",42,59.16
"Las Vegas",45,57.06
"Las Vegas",48,53.73
"Las Vegas",51,59.63
"Las Vegas",54,60.75
"Las Vegas",57,58.15
"Las Vegas",60,53.65
"Las Vegas",63,50.17
"Las Vegas",66,44.01
"Las Vegas",69,38.14
"Las Vegas",72,39.23
"Las Vegas",75,50.44
"Las Vegas",78,50.72
"Las Vegas",81,46.96
"Las Vegas",84,43.14
"Las Vegas",87,40.98
